-119.47852,39.28934,"Sam's Club; #4768,  Gas,","4835 Kietzke Ln,Reno,NV,89509,(775) 829-7900,"
-95.469651,29.724232,"Sam's Club; #4769,  Gas,","5310 S Rice Blvd; I-610 Exit 8,Houston,TX,77081,(832) 778-9736,"
-104.718277,40.383714,"Sam's Club; #4770,  Gas/Diesel,","3247 23rd Ave,Evans,CO,80620,(970) 330-1011,"
-76.651218,39.14816,"Sam's Club; #4771,  Gas/Diesel,","424 George Clauss Blvd; I-97 Exit 13,Severn,MD,21144,(410) 969-5270,"
-82.453278,27.340602,"Sam's Club; #4772, ","300 N Cattlemen Rd; I-75 Exit 210,Sarasota,FL,34232,(941) 341-9274,"
-74.042374,40.791397,"Sam's Club; #4774, ","300 Park Place; I-95 Exit 17,Secaucus,NJ,07094,(201) 974-0702,"
-90.170239,29.974187,"Sam's Club; #4775,  Gas,","3900 Airline Hwy,Metairie,LA,70001,(504) 831-2911,"
-86.658454,34.736543,"Sam's Club; #4776,  Gas,","5651 Holmes AvE NW,Huntsville,AL,35816,(256) 837-7323,"
-104.898434,39.76651,"Sam's Club; #4777,  Gas,","7805 E 35th Ave; I-70 Exit 278,Denver,CO,80238,(720) 941-6180,"
-83.28321,42.706287,"Sam's Club; #4778,  Gas,","4350 Joslyn Rd; I-75 Exit 83,Auburn Hills,MI,48326,(248) 391-6910,"
-83.981616,34.073086,"Sam's Club; #4780,  Gas,","3383 Buford Dr; I-85 Exit 115,Buford,GA,30519,(770) 831-7122,"
-84.519606,42.764405,"Sam's Club; #4781,  Gas,","2925 Towne Centre Blvd,Lansing,MI,48912,(517) 482-9149,"
-81.468556,28.327023,"Sam's Club; #4782,  Gas,","4763 W Irlo Bronson Memorial Hwy,Kissimmee,FL,34746,(407) 397-9910,"
-96.64501,32.961697,"Sam's Club; #4783,  Gas,","5150 N Garland Ave,Garland,TX,75044,(972) 469-3956,"
-106.766427,32.346651,"Sam's Club; #4784,  Gas,","2711 N Telshor Blvd; I-25 Exit 6,Las Cruces,NM,88011,(505) 521-7858,"
-81.341486,28.791965,"Sam's Club; #4785,  Gas,","1101 Rinehart Rd; I-4 Exit 101,Sanford,FL,32771,(407) 302-8355,"
-111.837265,41.755148,"Sam's Club; #4786,  Gas,","145 W Cache Valley Blvd,Logan,UT,84341,(435) 787-0063,"
-93.28193,44.860123,"Sam's Club; #4787,  Gas,","200 W 79th St,Bloomington,MN,55420,(952) 888-1050,"
-77.350632,37.527625,"Sam's Club; #4788,  Gas/Diesel,","4571 Laburnum Ave; I-64 Exit 195,Richmond,VA,23231,(804) 222-5208,"
-84.623818,33.399976,"Sam's Club; #4789,  Gas,","310 Fischer Rd,Sharpsburg,GA,30277,(770) 304-0346,"
-90.148275,32.270014,"Sam's Club; #4790,  Gas/Diesel,","90 Bass Pro Dr; I-20 Exit 48,Pearl,MS,39208,(601) 939-4161,"
-100.834769,37.982641,"Sam's Club; #4791,  Gas/Diesel,","3010 Larue St,Garden City,KS,67846,(620) 272-9001,"
-81.921122,27.998721,"Sam's Club; #4794,  Gas/Diesel,","3530 Lakeland Highlands Rd,Lakeland,FL,33803,(863) 644-4730,"
-97.096839,32.932197,"Sam's Club; #4795,  Gas,","1701 W St Hwy 114,Grapevine,TX,76051,(817) 416-5434,"
-80.59108,35.463272,"Sam's Club; #4797,  Gas,","2421 Supercenter Dr Ne; I-85 Exit 60,Kannapolis,NC,28025,(704) 792-9000,"
-80.272348,36.186694,"Sam's Club; #4798,  Gas,","284 Summit Square Blvd,Winston Salem,NC,27105,(336) 377-2820,"
-121.29608,38.67964,"Sam's Club; #4799,  Gas,","7147 Greenback Lane,Citrus Heights,CA,95610,(916) 721-6527,"
-82.336149,27.789769,"Sam's Club; #4801,  Gas/Diesel,","10358 Big Bend Rd: I-75 Exit 246,Riverview,FL,33578,(813) 371-2394,"
-84.749035,33.887557,"Sam's Club; #4802,  Gas,","4798 Jimmy Lea Pkwy,Hiram,GA,30141,(678) 567-5990,"
-84.212405,33.46118,"Sam's Club; #4804,  Gas,","1765 Jonesboro Rd; I-75 Exit 221,Mcdonough,GA,30253,(770) 914-0488,"
-108.526688,45.754838,"Sam's Club; #4805,  Gas/Diesel,","4420 King Ave E; I-90 Exit 447,Billings,MT,59101,(406) 256-7277,"
-84.086758,33.695866,"Sam's Club; #4810,  Gas,","2994 Turner Hill Rd; I-20 Exit 75,Lithonia,GA,30058,(770) 482-2077,"
-83.353881,42.523739,"Sam's Club; #4812, ","32625 Northwestern Hwy,Farmington Hills,MI,48334,(248) 539-3066,"
